id,jlpt_level,display_order,milestone_key,title_id,description_id,roadmap_phase_id,completion_rule_key,completion_rule_json,target_metric_key,target_value,reward_xp,reward_badge_key,unlock_next_phase_id,recommended_for_mvp,source_basis,source_url,notes
roadmap_ms_n5_001,N5,1,kana_basic_complete,Kana Basic Complete,Hiragana + katakana basic selesai.,phase_01,lesson_complete,"{""lesson_ids"": [""les_0105"", ""les_0205""], ""min_score_percent"": 80}",kana_basic_percent,100,200,badge_kana_reader,phase_02,true,official_jlpt_sections_plus_curated_app_roadmap,https://www.mlcjapanese.co.jp/n5.html,Milestone for dashboard roadmap and gamification.
roadmap_ms_n5_002,N5,2,kana_mastery,Kana Mastery,"Kana marks, yōon, sokuon, punctuation, dan gate selesai.",phase_01,checkpoint_score,"{""lesson_id"": ""les_0305"", ""min_score_percent"": 80}",kana_accuracy,80,250,badge_kana_master,phase_02,true,official_jlpt_sections_plus_curated_app_roadmap,https://www.mlcjapanese.co.jp/n5.html,Milestone for dashboard roadmap and gamification.
roadmap_ms_n5_003,N5,3,sentence_foundation,Sentence Foundation,"Basic sentence, particles, existence selesai.",phase_02,lesson_group_complete,"{""phase_id"": ""phase_02"", ""min_completion_percent"": 85}",grammar_foundation_percent,85,300,badge_sentence_builder,phase_03,true,official_jlpt_sections_plus_curated_app_roadmap,https://www.jlpt.jp/sp/e/guideline/testsections.html,Milestone for dashboard roadmap and gamification.
roadmap_ms_n5_004,N5,4,core_vocab_250,Core Vocab 250,Minimal 250 vocab dikenali via SRS/quiz.,phase_03,metric_threshold,"{""metric"": ""vocab_known_count"", ""threshold"": 250}",vocab_known_count,250,350,badge_vocab_250,phase_04,true,official_jlpt_sections_plus_curated_app_roadmap,https://www.mlcjapanese.co.jp/n5.html,Milestone for dashboard roadmap and gamification.
roadmap_ms_n5_005,N5,5,verb_adj_engine,Verb & Adjective Engine,Konjugasi verb/adjective checkpoint lulus.,phase_04,checkpoint_score,"{""lesson_id"": ""les_1205"", ""min_score_percent"": 80}",conjugation_accuracy,80,350,badge_conjugation_engine,phase_05,true,official_jlpt_sections_plus_curated_app_roadmap,https://www.mlcjapanese.co.jp/n5.html,Milestone for dashboard roadmap and gamification.
roadmap_ms_n5_006,N5,6,kanji_core_80,Kanji Core 80,80 kanji core selesai dengan review aktif.,phase_05,checkpoint_score,"{""lesson_id"": ""les_1406"", ""min_score_percent"": 75}",kanji_core_count,80,400,badge_kanji_80,phase_06,true,official_jlpt_sections_plus_curated_app_roadmap,https://www.mlcjapanese.co.jp/n5.html,Milestone for dashboard roadmap and gamification.
roadmap_ms_n5_007,N5,7,counter_time_ready,Counters & Time Ready,"Tanggal, jam, angka, counter umum selesai.",phase_06,checkpoint_score,"{""lesson_id"": ""les_1605"", ""min_score_percent"": 75}",counter_accuracy,75,250,badge_counter_time,phase_07,true,official_jlpt_sections_plus_curated_app_roadmap,https://www.mlcjapanese.co.jp/n5.html,Milestone for dashboard roadmap and gamification.
roadmap_ms_n5_008,N5,8,daily_communication,Daily Communication Ready,Skenario harian selesai.,phase_07,checkpoint_score,"{""lesson_id"": ""les_1708"", ""min_score_percent"": 75}",scenario_completion,100,300,badge_daily_japanese,phase_08,true,official_jlpt_sections_plus_curated_app_roadmap,https://www.mlcjapanese.co.jp/n5.html,Milestone for dashboard roadmap and gamification.
roadmap_ms_n5_009,N5,9,reading_listening_ready,Reading & Listening Ready,Comprehension checkpoint selesai.,phase_08,checkpoint_score,"{""lesson_id"": ""les_1905"", ""min_score_percent"": 70}",comprehension_accuracy,70,350,badge_comprehension,phase_09,true,official_jlpt_sections_plus_curated_app_roadmap,https://www.jlpt.jp/e/samples/forlearners.html,Milestone for dashboard roadmap and gamification.
roadmap_ms_n5_010,N5,10,mock_ready,Mock Test Ready,Siap simulasi full N5.,phase_09,metric_threshold,"{""metrics"": {""vocab_accuracy"": 70, ""grammar_accuracy"": 70, ""reading_accuracy"": 65, ""listening_accuracy"": 65}}",mock_readiness_score,70,500,badge_mock_ready,,true,official_jlpt_sections_plus_curated_app_roadmap,https://www.jlpt.jp/sp/e/guideline/testsections.html,Milestone for dashboard roadmap and gamification.
roadmap_ms_n5_011,N5,11,n5_mvp_complete,N5 MVP Complete,Semua phase MVP selesai dan full mock dikerjakan.,phase_09,course_complete,"{""course_id"": ""course_n5"", ""required_phases"": 10, ""full_mock_completed"": true}",course_completion_percent,100,1000,badge_n5_complete,,true,official_jlpt_sections_plus_curated_app_roadmap,https://www.jlpt.jp/sp/e/guideline/testsections.html,Milestone for dashboard roadmap and gamification.
